n_estimators,learning_rate,max_depth,min_child_weight,val_auc,best_threshold,fn,fp,fp_fn_ratio,total_errors,balance_score,auc_rank,error_rank,balance_rank,composite_score
200,0.07,6,1,0.9703814635359153,0.22000000000000006,67,500,7.462686567164179,567,667.5,135.0,216.0,205.5,180.45
200,0.07,3,3,0.9687105105713862,0.3300000000000002,97,427,4.402061855670103,524,669.5,221.0,101.5,210.0,181.85000000000002
200,0.1,3,1,0.9698306221266729,0.2600000000000001,67,488,7.2835820895522385,555,655.5,190.0,196.5,157.5,182.2
200,0.07,5,7,0.9702393682758348,0.24000000000000007,68,492,7.235294117647059,560,662.0,163.0,202.0,189.0,182.5
200,0.07,4,3,0.9700085240990489,0.28000000000000014,80,464,5.8,544,664.0,180.0,176.5,195.0,183.45
300,0.05,3,3,0.9690196768795815,0.31000000000000016,83,452,5.445783132530121,535,659.5,213.0,152.5,175.0,183.45
400,0.03,6,3,0.9700471597840992,0.23000000000000007,63,501,7.9523809523809526,564,658.5,176.0,208.5,171.0,184.25
300,0.05,3,7,0.9690636471989695,0.31000000000000016,83,453,5.457831325301205,536,660.5,209.0,159.0,181.0,185.60000000000002
400,0.03,4,5,0.9694415979590012,0.30000000000000016,84,453,5.392857142857143,537,663.0,201.0,162.0,193.5,187.05
300,0.05,6,5,0.970260545157599,0.21000000000000005,60,512,8.533333333333333,572,662.0,159.0,224.0,189.0,187.5
300,0.07,6,7,0.97028867322956,0.21000000000000005,62,511,8.241935483870968,573,666.0,154.0,228.0,201.0,190.3
400,0.07,6,7,0.97028867322956,0.21000000000000005,62,511,8.241935483870968,573,666.0,154.0,228.0,201.0,190.3
500,0.07,6,7,0.97028867322956,0.21000000000000005,62,511,8.241935483870968,573,666.0,154.0,228.0,201.0,190.3
300,0.03,6,1,0.9694495190827145,0.27000000000000013,78,470,6.0256410256410255,548,665.0,200.0,185.0,198.0,194.9
200,0.05,6,7,0.970008928238014,0.24000000000000007,65,502,7.723076923076923,567,664.5,179.0,216.0,196.5,195.35
200,0.05,5,7,0.9693669130782763,0.28000000000000014,77,473,6.142857142857143,550,665.5,203.0,188.5,199.0,197.45
200,0.07,3,1,0.968693779218237,0.3300000000000002,100,431,4.31,531,681.0,222.0,138.5,228.0,198.75
300,0.03,6,3,0.9694737674206122,0.2600000000000001,75,482,6.426666666666667,557,669.5,199.0,200.5,210.0,202.75
300,0.03,5,1,0.9691223281766818,0.27000000000000013,71,490,6.901408450704225,561,667.5,206.0,203.0,205.5,204.95000000000002
400,0.03,4,3,0.9692699197266856,0.2600000000000001,63,507,8.047619047619047,570,664.5,204.0,221.0,196.5,206.85
200,0.05,4,1,0.968838622623279,0.30000000000000016,78,474,6.076923076923077,552,669.0,218.0,192.0,207.5,207.05
200,0.07,3,7,0.9685073903275967,0.30000000000000016,77,474,6.1558441558441555,551,666.5,224.0,190.0,203.0,207.50000000000003
200,0.05,5,3,0.9693861500930085,0.2600000000000001,70,495,7.071428571428571,565,670.0,202.0,212.0,213.0,208.3
200,0.05,6,3,0.9697980485260971,0.23000000000000007,62,515,8.306451612903226,577,670.0,191.0,235.5,213.0,210.95000000000002
